,N,SSIM,MSE
237,4237,0.9161558699962057,0.007315648254007101
238,4238,0.9139394426102144,0.007882503792643547
239,4239,0.9152255236779137,0.007538101635873318
240,4240,0.9170496646483554,0.006940911989659071
241,4241,0.9137554432835366,0.00790570117533207
242,4242,0.9155750140839088,0.00744394026696682
243,4243,0.9173730517124612,0.006908787414431572
244,4244,0.9147353120167204,0.007687788456678391
245,4245,0.9148984542992532,0.007627380546182394
246,4246,0.9169389423762829,0.006987965665757656
247,4247,0.916355137577347,0.00721694715321064
248,4248,0.9149797722012469,0.007642229553312063
249,4249,0.9175216259419301,0.006868628319352865
250,4250,0.9177472722110681,0.006877127569168806
251,4251,0.9142001753488245,0.007828072644770145
252,4252,0.916879745639282,0.007011317647993565
253,4253,0.9186369715367605,0.006517096422612667
254,4254,0.9153212783259991,0.007490793243050575
255,4255,0.9163559351008295,0.007286719046533108
256,4256,0.9181360193079968,0.006735816597938538
257,4257,0.9161852895512724,0.00731947785243392
258,4258,0.9155061371905794,0.007639697752892971
259,4259,0.9185648064162343,0.006867969408631325
260,4260,0.9182343651795621,0.006982598453760147
261,4261,0.9158289577122162,0.007765451446175575
262,4262,0.9193814106158426,0.006775848101824522
263,4263,0.9199184562482322,0.006957244593650103
264,4264,0.9190403060315318,0.007283547427505255
265,4265,0.9214115345400569,0.006722514051944017
266,4266,0.9196851870344911,0.007082402240484953
267,4267,0.9212012666892546,0.006792463362216949
268,4268,0.9193271716305267,0.007137215696275234
269,4269,0.9204783632448286,0.006991265807300806
270,4270,0.9198324099509458,0.007026591338217258
271,4271,0.9210214759284484,0.00683008274063468
272,4272,0.9210927215252382,0.006733824033290148
273,4273,0.9191835118471191,0.007218006532639265
274,4274,0.9215377672677783,0.006757138296961784
275,4275,0.9224869874510008,0.006343735381960869
276,4276,0.9200681234326727,0.007144594565033913
277,4277,0.920741477888603,0.006930419709533453
278,4278,0.9223802395458305,0.006525021977722645
279,4279,0.9213836302270463,0.00679683918133378
280,4280,0.9200353717691225,0.007111575454473495
281,4281,0.9229600684593655,0.00643878523260355
282,4282,0.9227962495903796,0.006395554170012474
